DOEID,House,School,Income,Climate,UR,TOTSQFT,HDD65,CDD65,KWH,TOTALBTUSPH,TOTALBTUCOL,STOVEN,OVEN
4877,Single-Family Detached,High School,52500,"Very Cold/
Cold",U,3480,5511,767,10702,79689,434,1,0
4879,Single-Family Detached,Some College,92500,Mixed-Humid,U,1620,4787,1017,5353,70686,1149,1,0
4880,Single-Family Detached,Some College,22500,"Very Cold/
Cold",U,3875,6749,542,7528,58711,488,1,0
4882,Single-Family Detached,Associate's,130000,Mixed-Humid,U,4050,5377,651,9828,87280,3310,1,0
4883,Single-Family Detached,Bachlor's,52500,"Very Cold/
Cold",U,2028,5611,731,1974,51828,0,1,0
4884,Single-Family Detached,Bachlor's,130000,"Very Cold/
Cold",U,2271,6013,629,15984,101071,0,1,0
4886,Single-Family Detached,Bachlor's,130000,Mixed-Humid,R,6280,5242,931,24793,86874,17059,2,2
4887,Single-Family Detached,Some k-12,12500,Mixed-Humid,U,1050,3209,1261,11942,9452,4380,1,0
4889,Single-Family Detached,Bachlor's,130000,"Very Cold/
Cold",U,5161,5265,725,10073,136460,3878,1,0
4890,Single-Family Detached,Bachlor's,130000,Mixed-Humid,U,3345,4178,1240,18571,72518,8416,1,0
4891,Single-Family Detached,Bachlor's,82500,"Hot-Dry/
Mixed-Dry",U,4246,2308,1867,9445,12362,6612,1,0
4892,Single-Family Detached,Bachlor's,67500,"Hot-Dry/
Mixed-Dry",U,1824,1144,1494,8803,0,0,1,0
4893,Single-Family Detached,Associate's,72500,"Very Cold/
Cold",U,3777,6862,317,4770,51380,1771,1,0
4894,Single-Family Detached,High School,67500,"Very Cold/
Cold",U,2700,7901,440,7282,56683,696,1,0
4895,Mobile Home,Some k-12,17500,"Hot-Dry/
Mixed-Dry",U,312,1178,829,4510,4969,565,1,0
4896,Single-Family Detached,Associate's,22500,"Very Cold/
Cold",U,2272,6366,257,11508,33524,0,0,2
4897,Single-Family Detached,Master's,97500,Marine,U,2646,2685,701,2623,20301,714,0,1
4898,Single-Family Attached,No schooling,42500,Hot-Humid,U,625,2302,2550,3735,22290,4754,1,0
4899,Single-Family Detached,Bachlor's,110000,"Very Cold/
Cold",U,6293,5667,563,15329,174333,0,1,0
4900,Single-Family Detached,Master's,67500,Mixed-Humid,U,1262,5178,1069,7064,29529,2073,1,0
4901,Single-Family Detached,High School,130000,"Hot-Dry/
Mixed-Dry",U,1848,1087,1628,16159,2338,1234,0,1
4902,Single-Family Detached,Some College,22500,Mixed-Humid,U,2496,3100,1690,25489,16667,18970,1,0
4903,Single-Family Detached,High School,52500,Mixed-Humid,U,5812,5538,748,13166,32988,0,1,0
4904,Single-Family Detached,Some College,27500,Mixed-Humid,U,3795,3122,1679,8431,48111,6595,0,1
4905,Single-Family Detached,Bachlor's,130000,Marine,U,3094,2429,377,20143,21304,650,0,1
4906,Single-Family Attached,High School,52500,Mixed-Humid,U,1572,5037,824,21701,14395,932,1,0
4907,Single-Family Detached,Master's,42500,Mixed-Humid,U,2110,5443,779,17751,15983,5340,1,0
4909,Single-Family Detached,Bachlor's,130000,"Very Cold/
Cold",R,4064,7877,480,29380,25556,7559,1,0
4910,Single-Family Detached,Associate's,130000,"Very Cold/
Cold",U,5304,6414,492,12800,70425,6317,1,0
4912,Single-Family Detached,High School,37500,"Very Cold/
Cold",R,1512,8103,317,8699,77721,233,1,0
4913,Single-Family Attached,Some k-12,8750,"Very Cold/
Cold",U,2971,5533,837,38505,99078,3454,1,0
4915,Single-Family Detached,Some College,37500,Marine,R,2016,5913,134,12458,13233,0,0,1
4916,Single-Family Attached,Bachlor's,52500,Hot-Humid,U,800,316,4205,10769,2304,9236,1,0
4919,Single-Family Detached,High School,37500,"Very Cold/
Cold",U,3402,5503,768,4286,122786,459,1,0
4920,Single-Family Detached,Bachlor's,130000,Mixed-Humid,R,6256,4202,1055,15693,106587,15765,1,0
4921,Single-Family Detached,Some k-12,37500,"Very Cold/
Cold",U,1426,5728,587,10809,57895,2494,1,0
4922,Mobile Home,Some k-12,27500,Hot-Humid,R,1940,1619,2836,12543,7794,5303,2,0
4923,Single-Family Detached,Bachlor's,110000,Marine,U,3193,4827,354,6670,6141,0,1,0
4924,Single-Family Detached,Doctorate,97500,"Very Cold/
Cold",U,4338,6511,399,12040,77422,1935,1,0
4925,Single-Family Detached,Bachlor's,62500,"Very Cold/
Cold",U,3040,7856,451,10087,45789,2328,1,0
4926,Single-Family Detached,Bachlor's,82500,Hot-Humid,U,3465,1143,3358,12052,19299,13586,1,1
4927,Single-Family Detached,Bachlor's,110000,"Very Cold/
Cold",U,3133,5344,775,5401,53851,1593,1,0
4928,Single-Family Detached,High School,72500,"Very Cold/
Cold",U,2816,7228,464,4349,52685,404,0,1
4930,Mobile Home,High School,8750,"Very Cold/
Cold",U,984,6475,621,11503,15697,2075,1,0
4931,Single-Family Detached,Master's,22500,"Hot-Dry/
Mixed-Dry",U,2038,2371,2007,8971,22833,8442,1,0
4934,Single-Family Detached,Bachlor's,97500,Hot-Humid,U,3550,2699,2003,16907,44499,18788,0,0
4935,Single-Family Detached,Some College,57500,Hot-Humid,U,2214,2399,2045,21647,8010,11178,1,0
4937,Single-Family Detached,Master's,47500,"Very Cold/
Cold",U,3249,7320,332,18417,18391,0,1,0
4938,Single-Family Detached,High School,72500,Mixed-Humid,R,2375,5195,989,25953,7534,6686,1,0
4940,Single-Family Detached,Some k-12,87500,Hot-Humid,U,1588,253,4218,25213,0,11313,1,0
4941,Single-Family Detached,High School,12500,Mixed-Humid,U,1680,4366,1145,16720,35407,10464,1,0
4942,Single-Family Detached,Doctorate,1250,Mixed-Humid,U,4400,5042,834,11251,61655,2807,0,0
4943,Single-Family Attached,Some College,17500,Marine,U,462,4598,426,13624,11980,0,1,0
4944,Single-Family Detached,Some College,82500,Marine,U,2106,2698,476,9685,50057,0,0,1
4945,Single-Family Detached,Some College,77500,"Very Cold/
Cold",R,3087,7055,215,15853,0,2086,1,0
4947,Single-Family Detached,Some College,110000,Mixed-Humid,U,1600,4608,1393,10374,36055,2360,1,0
4949,Single-Family Detached,Master's,6250,"Very Cold/
Cold",U,4110,6427,490,8919,108792,2249,1,0
4950,Single-Family Attached,High School,47500,"Very Cold/
Cold",U,1970,6343,443,6033,41857,3133,1,0
4951,Single-Family Detached,Bachlor's,87500,Mixed-Humid,R,2364,5329,889,23208,37818,8848,1,0
4952,Single-Family Detached,Associate's,57500,"Very Cold/
Cold",U,2116,5923,747,6749,37568,3891,1,0
4953,Single-Family Detached,Some College,52500,Mixed-Humid,R,4653,4664,843,15147,85895,7040,1,0
4954,Single-Family Detached,No schooling,32500,Hot-Humid,U,996,1786,2565,11507,19929,4940,1,0
4956,Single-Family Detached,Some College,72500,"Very Cold/
Cold",U,2880,6727,384,4734,102631,437,1,0
4957,Single-Family Detached,Bachlor's,67500,"Very Cold/
Cold",U,2953,8050,393,7359,65323,764,1,0
4958,Single-Family Attached,Bachlor's,47500,Hot-Humid,R,4193,1640,2798,16177,24696,18843,1,0
4959,Single-Family Detached,Associate's,22500,"Hot-Dry/
Mixed-Dry",U,1440,2557,2064,5356,2082,4640,1,0
4961,Single-Family Detached,High School,130000,"Very Cold/
Cold",U,3151,5417,703,6538,36469,0,1,0
4962,Single-Family Detached,Bachlor's,62500,"Very Cold/
Cold",U,2730,5267,797,13216,63590,2199,0,1
4964,Single-Family Detached,High School,6250,"Hot-Dry/
Mixed-Dry",U,2450,2356,2486,17011,19867,14235,1,0
4966,Single-Family Detached,High School,22500,"Hot-Dry/
Mixed-Dry",R,1248,2731,2299,4991,42763,0,1,0
4968,Single-Family Detached,High School,87500,Mixed-Humid,U,1915,4830,1315,10795,68878,5140,1,0
4969,Single-Family Detached,Master's,42500,"Very Cold/
Cold",R,1224,7241,307,8590,58915,0,0,1
4971,Single-Family Detached,Bachlor's,87500,"Very Cold/
Cold",U,8695,5696,624,54452,39456,14553,1,0
4972,Single-Family Detached,Professional,130000,"Very Cold/
Cold",U,6397,8151,397,15042,96610,3758,1,0
4976,Single-Family Detached,Master's,110000,"Very Cold/
Cold",U,4566,5332,817,11283,50835,2681,1,0
4977,Single-Family Attached,Associate's,67500,"Very Cold/
Cold",U,1722,5702,629,2707,62327,369,1,0
4978,Single-Family Detached,Some College,92500,Mixed-Humid,U,3672,4750,1340,13375,8404,7320,1,0
4979,Single-Family Detached,Bachlor's,37500,"Very Cold/
Cold",U,6027,5771,786,8612,63756,6587,1,0
4980,Single-Family Detached,Bachlor's,72500,"Very Cold/
Cold",U,2736,6597,357,9475,63674,2659,1,0
4983,Mobile Home,High School,47500,"Very Cold/
Cold",U,1350,4293,1412,11138,23941,0,1,0
4985,Single-Family Detached,High School,27500,"Very Cold/
Cold",R,1733,7208,392,11902,0,234,1,0
4986,Mobile Home,Associate's,37500,"Very Cold/
Cold",U,912,4905,633,4689,37679,443,1,0
4987,Single-Family Detached,Some College,62500,"Very Cold/
Cold",R,1904,5315,968,27765,21778,9720,1,0
4989,Single-Family Detached,Bachlor's,62500,"Hot-Dry/
Mixed-Dry",U,1196,1090,1625,4454,10333,3529,1,0
4990,Single-Family Detached,High School,47500,Mixed-Humid,R,2175,3423,1604,21633,72036,13143,0,2
4991,Single-Family Detached,Some College,32500,"Hot-Dry/
Mixed-Dry",U,1428,2759,2067,6414,17255,4850,1,0
4992,Single-Family Detached,Some k-12,27500,Hot-Humid,U,1400,2276,2524,12430,48395,7368,1,0
4993,Single-Family Detached,Bachlor's,82500,"Very Cold/
Cold",U,4709,7312,340,13612,84302,2420,1,0
4994,Single-Family Detached,High School,47500,Hot-Humid,U,2025,33,2934,7987,0,1562,1,0
4996,Mobile Home,No schooling,3750,"Very Cold/
Cold",U,572,8655,60,3499,4493,0,1,0
4997,Single-Family Detached,Some k-12,52500,Mixed-Humid,R,768,3635,1465,11107,8777,2753,1,0
4998,Single-Family Detached,Bachlor's,72500,Mixed-Humid,U,2800,4376,1292,25439,43545,12296,1,0
4999,Single-Family Detached,Some College,52500,"Hot-Dry/
Mixed-Dry",U,2408,2790,2035,7626,26794,8822,1,0
5000,Single-Family Detached,High School,27500,Hot-Humid,R,1200,1059,3752,12727,12885,16537,1,0
5001,Single-Family Detached,Master's,110000,"Very Cold/
Cold",R,3276,9082,25,28347,9128,0,1,0
5002,Single-Family Detached,Bachlor's,42500,"Hot-Dry/
Mixed-Dry",R,2387,2362,2514,15872,33313,13915,1,0
5003,Single-Family Detached,Master's,62500,"Very Cold/
Cold",R,3758,9140,15,11523,75754,0,1,0
5004,Single-Family Detached,Bachlor's,92500,Mixed-Humid,U,2160,2990,1750,10452,50568,10796,1,0
5005,Single-Family Detached,Bachlor's,47500,Mixed-Humid,U,2851,3619,1318,15123,7986,6340,0,2
5009,Single-Family Detached,High School,37500,"Very Cold/
Cold",U,2736,7161,257,9040,143114,137,1,0
5011,Single-Family Detached,Professional,130000,Mixed-Humid,U,6800,5206,841,11084,106118,3965,1,0
5012,Single-Family Detached,Bachlor's,32500,Hot-Humid,U,1802,2658,2032,12850,38022,8963,1,0
5015,Single-Family Detached,Some k-12,32500,Hot-Humid,R,2579,591,3765,13423,3854,9542,2,0
5016,Single-Family Detached,Some k-12,42500,Hot-Humid,U,1424,1310,3355,15221,15697,13859,1,1
5021,Single-Family Detached,Some k-12,12500,"Hot-Dry/
Mixed-Dry",U,1056,1115,1598,10852,0,0,1,0
5022,Single-Family Attached,Some k-12,12500,Marine,U,950,2460,358,1794,14310,0,1,0
5023,Single-Family Detached,Bachlor's,130000,Mixed-Humid,U,4320,4357,1305,14431,79060,10731,1,0
5025,Single-Family Detached,Some College,97500,"Very Cold/
Cold",R,4344,7983,459,21285,48931,1581,1,0
5027,Single-Family Detached,High School,47500,"Very Cold/
Cold",U,2484,8082,450,8530,70990,652,1,0
5029,Single-Family Detached,Associate's,27500,"Very Cold/
Cold",R,4852,5373,599,30558,22969,1265,1,0
5031,Single-Family Detached,Some College,32500,"Very Cold/
Cold",R,2816,7199,449,25713,32816,627,1,0
5032,Single-Family Detached,High School,72500,"Very Cold/
Cold",U,3375,7788,272,10229,168369,157,1,0
5033,Single-Family Detached,Some k-12,32500,"Very Cold/
Cold",U,2115,6637,414,10437,18902,0,1,0
5035,Single-Family Detached,High School,47500,Mixed-Humid,R,1704,3486,1561,23421,16018,13022,1,0
5036,Mobile Home,High School,27500,Mixed-Humid,U,902,5208,1070,13216,97212,5838,1,0
5037,Single-Family Detached,High School,130000,Mixed-Humid,U,1910,4865,1019,13514,42140,3948,1,0
5038,Single-Family Detached,High School,37500,"Hot-Dry/
Mixed-Dry",U,1800,1106,1228,3780,13465,0,1,0
5039,Single-Family Detached,Associate's,42500,"Hot-Dry/
Mixed-Dry",U,1704,2276,1530,9520,17138,1879,1,0
5041,Single-Family Detached,Some College,17500,Mixed-Humid,U,1080,3077,1766,14396,8929,4987,1,0
5042,Single-Family Detached,High School,57500,"Very Cold/
Cold",U,2808,6001,737,6000,74170,0,1,0
5043,Single-Family Detached,Bachlor's,1250,"Very Cold/
Cold",U,5434,6598,710,5484,57972,2505,1,0
5044,Single-Family Detached,Associate's,42500,Hot-Humid,U,1961,1969,2869,16604,4522,5598,1,0
5045,Single-Family Detached,High School,22500,Hot-Humid,U,1669,1278,3607,12105,0,17530,1,0
5046,Single-Family Detached,Some College,57500,"Very Cold/
Cold",U,5859,6849,476,15001,120354,10204,0,1
5047,Single-Family Detached,High School,97500,Hot-Humid,U,3110,2328,2468,14904,24906,11054,1,0
5049,Single-Family Detached,Some k-12,52500,"Hot-Dry/
Mixed-Dry",U,2149,899,1673,7953,0,4630,1,0
5050,Single-Family Detached,Bachlor's,87500,"Very Cold/
Cold",U,3200,6659,511,4477,99790,229,1,0
5052,Mobile Home,High School,22500,"Hot-Dry/
Mixed-Dry",U,576,1201,983,2510,0,664,1,0
5053,Single-Family Detached,High School,130000,"Very Cold/
Cold",U,1998,5962,492,9716,69622,608,1,0
5055,Single-Family Attached,Some College,27500,"Very Cold/
Cold",U,1008,5735,795,1459,10711,365,1,0
5057,Single-Family Detached,High School,130000,Marine,R,3100,5640,168,23162,16411,1249,1,0
5058,Single-Family Detached,High School,22500,"Very Cold/
Cold",R,2688,8277,374,10520,66017,0,1,0
5059,Single-Family Detached,Some College,42500,"Very Cold/
Cold",R,2648,8626,246,9847,129102,152,1,0
5061,Single-Family Detached,Master's,130000,"Very Cold/
Cold",R,3382,6375,445,21627,160866,0,2,1
5062,Single-Family Detached,Some k-12,8750,Mixed-Humid,R,1065,5148,814,8032,12051,617,1,0
5063,Single-Family Attached,High School,12500,"Very Cold/
Cold",U,2720,5796,717,4968,5793,0,1,0
5064,Single-Family Detached,High School,27500,"Very Cold/
Cold",R,1669,9587,108,5114,0,0,1,0
5065,Single-Family Detached,Some k-12,17500,Hot-Humid,U,782,759,4875,6111,6935,7220,1,0
5066,Single-Family Detached,Some College,37500,Mixed-Humid,U,2670,4492,1512,5517,39691,5880,1,0
5067,Single-Family Detached,High School,42500,"Hot-Dry/
Mixed-Dry",U,1271,2374,2467,9732,20665,10749,1,0
5069,Single-Family Detached,Bachlor's,87500,Marine,R,1612,4907,186,9960,1609,0,1,0
5070,Single-Family Detached,Associate's,67500,Hot-Humid,U,2214,515,3596,14369,3707,9123,1,0
5071,Single-Family Attached,Some College,130000,"Very Cold/
Cold",U,1638,6922,342,4317,55498,92,1,0
5072,Single-Family Detached,Some College,82500,"Very Cold/
Cold",R,4582,5976,548,4510,88924,0,1,0
5074,Single-Family Detached,Doctorate,12500,Hot-Humid,U,1050,535,3787,7314,3522,11003,1,0
5076,Single-Family Detached,Associate's,72500,Hot-Humid,U,2451,685,3566,19299,3629,19135,1,0
5077,Single-Family Detached,High School,130000,Hot-Humid,R,3120,2371,2221,19665,6398,17777,0,1
5078,Single-Family Detached,Associate's,87500,Mixed-Humid,U,1556,5166,1061,9451,45754,1526,1,0
5079,Single-Family Attached,Professional,62500,"Very Cold/
Cold",U,2142,6174,505,3033,167078,236,1,0
5080,Single-Family Attached,Bachlor's,8750,"Very Cold/
Cold",U,1549,6301,559,3524,69165,0,1,0
5083,Single-Family Detached,High School,17500,Mixed-Humid,U,2480,4096,1563,26073,27771,6211,1,0
5084,Single-Family Detached,Some College,82500,Mixed-Humid,U,1792,5121,714,6242,95186,3180,1,0
5086,Single-Family Attached,Bachlor's,72500,Mixed-Humid,U,2976,3315,1212,5853,18024,6099,1,0
5089,Single-Family Detached,Bachlor's,32500,Mixed-Humid,U,1208,4574,1115,13982,15608,2573,1,0
5091,Single-Family Detached,Some College,72500,Mixed-Humid,U,2650,3539,1598,23013,13391,16010,0,1
5092,Single-Family Detached,Bachlor's,47500,"Hot-Dry/
Mixed-Dry",U,1769,2475,2368,16917,5404,11855,1,0
5096,Single-Family Detached,Some College,52500,"Very Cold/
Cold",U,3972,6897,360,8250,66679,1007,1,0
5097,Single-Family Detached,Associate's,37500,Mixed-Humid,R,1736,4165,1256,16316,65998,8913,0,1
5098,Single-Family Detached,High School,1250,Mixed-Humid,U,1344,2970,1701,14184,29249,10273,1,0
5099,Single-Family Detached,High School,22500,Mixed-Humid,U,1517,4872,791,5131,45851,2439,1,0
5104,Single-Family Attached,Some College,87500,Mixed-Humid,U,1958,4691,1025,6460,157663,2271,1,0
5105,Single-Family Detached,Some College,47500,"Hot-Dry/
Mixed-Dry",R,3281,3619,1052,11920,70507,8276,0,1
5106,Single-Family Detached,Bachlor's,110000,"Very Cold/
Cold",U,5012,8509,198,14637,58226,2797,0,1
5107,Mobile Home,Some k-12,12500,Mixed-Humid,U,624,3343,1685,13309,11762,0,2,0
5109,Single-Family Detached,Some k-12,12500,Mixed-Humid,R,1170,2820,1838,15316,0,0,1,0
5110,Single-Family Detached,Some College,77500,"Very Cold/
Cold",R,2656,6826,548,15320,61101,3592,1,0
5111,Single-Family Detached,Master's,110000,"Very Cold/
Cold",U,1404,5239,697,6305,45840,0,1,0
5112,Single-Family Detached,High School,47500,Mixed-Humid,U,1737,5172,851,10689,75694,3009,1,0
5113,Single-Family Detached,Some k-12,22500,"Hot-Dry/
Mixed-Dry",U,2150,3665,1602,5421,36979,5278,1,0
5114,Single-Family Detached,Some College,110000,"Very Cold/
Cold",U,2667,6444,395,12440,55885,2068,1,0
5117,Single-Family Detached,Some k-12,27500,Mixed-Humid,R,1214,1827,2655,11175,3365,6571,1,0
5118,Single-Family Detached,Some College,37500,"Very Cold/
Cold",R,1920,9560,112,4893,102512,0,1,0
5119,Single-Family Detached,High School,27500,Hot-Humid,R,1410,631,3715,20792,5536,13735,1,0
5120,Single-Family Detached,High School,52500,"Very Cold/
Cold",U,4110,8262,496,13046,43358,1741,1,0
5122,Single-Family Detached,Bachlor's,67500,"Very Cold/
Cold",U,2936,5939,493,7647,112087,298,1,0
5123,Single-Family Detached,Some College,97500,"Very Cold/
Cold",R,5346,6677,391,12538,0,0,1,0
5124,Mobile Home,Bachlor's,62500,"Hot-Dry/
Mixed-Dry",R,1034,2377,2498,9462,5397,2410,1,0
5126,Single-Family Detached,Some k-12,27500,"Very Cold/
Cold",R,1248,5549,934,8143,9036,865,1,0
5127,Single-Family Detached,High School,32500,Mixed-Humid,R,4763,3641,1463,25594,19722,16625,1,0
5131,Single-Family Detached,Bachlor's,77500,Mixed-Humid,U,1969,4841,1026,10243,147982,2450,1,0
5132,Single-Family Detached,High School,92500,Hot-Humid,U,1140,1979,2933,10529,25343,10009,1,0
5134,Single-Family Attached,Some College,42500,"Hot-Dry/
Mixed-Dry",U,1161,2266,1537,10359,7902,4724,1,0
5138,Single-Family Detached,Master's,130000,Marine,U,3071,2894,77,15283,9803,0,0,2
5140,Single-Family Attached,High School,17500,Mixed-Humid,U,1320,4315,1485,5308,70063,0,1,0
5141,Single-Family Detached,Bachlor's,130000,Mixed-Humid,R,2640,2790,2047,25236,11774,17986,1,0
5143,Single-Family Detached,Bachlor's,130000,Marine,U,1675,2724,693,7748,41416,0,0,1
5145,Single-Family Attached,Some College,52500,Marine,U,2566,1751,1438,5631,55898,4269,1,0
5146,Single-Family Detached,High School,130000,Mixed-Humid,R,3240,5396,942,31172,19904,7605,1,0
5147,Single-Family Detached,High School,67500,"Very Cold/
Cold",R,2422,6686,216,12380,68106,786,1,0
5148,Single-Family Detached,Master's,130000,Mixed-Humid,U,3612,4940,985,9783,69769,7136,1,0
5149,Single-Family Detached,Bachlor's,130000,"Hot-Dry/
Mixed-Dry",R,3740,2833,1539,19940,15309,0,1,0
5151,Single-Family Detached,Bachlor's,92500,Mixed-Humid,U,2244,3002,1891,10482,9569,2401,1,0
5152,Single-Family Detached,Master's,22500,Mixed-Humid,U,2207,4886,881,5080,59333,4185,1,0
5153,Single-Family Detached,High School,42500,"Very Cold/
Cold",R,4636,6218,483,20124,19146,0,1,0
5155,Single-Family Detached,Bachlor's,42500,"Hot-Dry/
Mixed-Dry",U,3061,863,3407,6710,13745,9894,1,0
5156,Single-Family Detached,Some College,22500,"Very Cold/
Cold",R,4796,7688,473,11486,53474,2644,1,0
5157,Single-Family Detached,Some College,130000,"Very Cold/
Cold",U,4879,6338,425,7563,86717,1024,1,0
5158,Single-Family Detached,Some College,42500,Mixed-Humid,U,1671,3295,1738,27928,45989,14584,1,0
5159,Single-Family Detached,Some College,52500,Hot-Humid,U,1096,1969,2868,16469,8189,7714,1,0
5160,Single-Family Detached,Bachlor's,130000,Mixed-Humid,U,2972,4671,1179,28821,19443,2795,0,1
5163,Single-Family Detached,Some College,6250,Mixed-Humid,R,1620,3089,1715,14630,9027,1051,1,0
5164,Single-Family Detached,Some k-12,47500,"Very Cold/
Cold",U,1536,6860,614,9556,62206,0,1,0
5165,Single-Family Detached,Bachlor's,82500,"Hot-Dry/
Mixed-Dry",R,5542,4315,926,15457,37133,6230,1,1
5166,Single-Family Detached,High School,22500,Mixed-Humid,R,1380,3461,1397,1941,15475,457,2,0
5167,Single-Family Detached,Master's,32500,"Very Cold/
Cold",R,2593,6877,380,8803,52551,1252,1,0
5171,Single-Family Detached,High School,47500,Mixed-Humid,R,2808,3091,1902,22131,11540,13082,1,0
5172,Mobile Home,Some College,17500,Hot-Humid,R,742,1304,3058,10853,13387,4045,1,0
5174,Single-Family Detached,High School,47500,Hot-Humid,U,3430,1225,2859,23845,4610,8848,1,0
5176,Single-Family Detached,High School,47500,Mixed-Humid,U,4100,5087,880,36878,37616,10653,1,0
5177,Single-Family Detached,High School,130000,Mixed-Humid,R,3360,4287,1018,14561,26848,7372,1,0
5178,Single-Family Detached,Master's,47500,"Very Cold/
Cold",U,2634,6212,581,7727,93712,857,1,0
5183,Single-Family Detached,Master's,110000,Mixed-Humid,U,3069,4791,1133,19790,11734,3036,1,0
5184,Mobile Home,High School,27500,"Very Cold/
Cold",U,840,9962,54,7674,79463,0,1,0
5185,Single-Family Detached,High School,22500,Mixed-Humid,U,1040,3686,1532,28390,25645,10995,1,0
5187,Single-Family Detached,Bachlor's,110000,"Very Cold/
Cold",U,10435,7569,233,5067,70849,0,1,1
5190,Single-Family Detached,High School,17500,Hot-Humid,U,2686,1651,2854,11871,54688,13978,1,0
5192,Single-Family Detached,Some College,62500,"Very Cold/
Cold",U,1553,6426,461,6104,66008,0,1,0
5193,Single-Family Detached,Bachlor's,12500,Marine,U,1920,5185,98,5251,26213,0,1,0
5195,Single-Family Detached,Some College,12500,Hot-Humid,R,5280,2223,2189,23172,11964,9249,1,0
5196,Single-Family Attached,Some College,12500,"Very Cold/
Cold",U,1260,5686,1149,6598,49209,0,1,0
5197,Single-Family Detached,Some k-12,17500,Hot-Humid,U,1182,740,3497,15669,5544,12992,1,0
5199,Mobile Home,No schooling,22500,Mixed-Humid,R,924,3668,1310,15169,9296,2877,1,0
5200,Single-Family Detached,Some College,92500,"Very Cold/
Cold",U,1800,6477,393,3832,76328,347,1,0
5201,Single-Family Attached,Some College,130000,Mixed-Humid,U,2746,4618,1049,3933,51478,1277,1,0
5202,Single-Family Detached,Some College,130000,"Very Cold/
Cold",U,3365,6012,583,21208,87576,4682,1,0
5203,Single-Family Detached,Some College,47500,"Very Cold/
Cold",U,3286,6721,366,10909,89502,603,0,1
5206,Single-Family Detached,High School,37500,Hot-Humid,U,2450,1236,3524,13685,20618,19809,1,0
5207,Single-Family Detached,Associate's,72500,Mixed-Humid,U,2058,5007,1067,8746,61533,4936,1,0
5209,Single-Family Detached,Some College,1250,Mixed-Humid,R,2180,3137,1671,27344,21594,0,1,0
5211,Single-Family Detached,High School,12500,Hot-Humid,U,2271,594,3609,7757,2877,3215,1,0
5212,Single-Family Detached,Doctorate,110000,Mixed-Humid,U,5271,5156,988,9157,137580,4116,1,0
5213,Single-Family Attached,Some College,37500,"Very Cold/
Cold",U,1560,6424,851,15418,14968,2745,1,0
5217,Single-Family Detached,Bachlor's,72500,"Very Cold/
Cold",U,2400,6787,315,6162,85828,1376,1,0
5218,Single-Family Detached,Some k-12,52500,Mixed-Humid,U,1260,3155,1754,13906,95202,15548,1,0
5220,Single-Family Detached,Bachlor's,110000,"Very Cold/
Cold",U,6952,5114,769,17846,88144,17139,0,1
5221,Single-Family Attached,High School,8750,"Hot-Dry/
Mixed-Dry",U,742,878,1357,2234,28134,0,1,0
5222,Single-Family Detached,Associate's,52500,Mixed-Humid,U,1055,4725,1065,6985,45534,2377,1,0
5223,Single-Family Detached,Some k-12,22500,Hot-Humid,U,2250,1609,2679,14920,11896,18422,1,0
5224,Single-Family Detached,High School,130000,"Very Cold/
Cold",U,2690,5444,696,11904,34895,1309,1,0
5225,Single-Family Detached,Some College,27500,Mixed-Humid,R,1500,4233,1266,16418,12011,2832,1,0
5226,Single-Family Detached,Associate's,62500,Mixed-Humid,U,2200,5401,816,13012,10709,2961,1,0
5227,Single-Family Detached,Bachlor's,130000,Marine,U,2898,1561,507,7358,3906,0,1,0
5228,Mobile Home,High School,37500,Hot-Humid,U,1440,628,3462,5798,16944,3959,1,0
5229,Single-Family Attached,Some College,62500,Mixed-Humid,U,1338,4835,949,5240,42122,2203,1,0
5231,Single-Family Detached,High School,32500,Marine,U,864,2263,291,1993,9741,0,1,0
5232,Single-Family Detached,Bachlor's,22500,"Hot-Dry/
Mixed-Dry",U,1391,4200,412,4658,29930,357,1,0
5238,Single-Family Detached,Some College,92500,Mixed-Humid,U,3359,4702,1022,6204,10496,587,1,0
5239,Single-Family Attached,Bachlor's,110000,"Very Cold/
Cold",U,2663,5568,662,4128,34912,0,1,0
5240,Single-Family Detached,High School,32500,"Hot-Dry/
Mixed-Dry",R,1575,3749,999,19514,15693,2150,1,0
5241,Single-Family Attached,Associate's,72500,Mixed-Humid,U,2122,3650,1459,12330,9453,7230,1,0
5244,Single-Family Detached,Some k-12,1250,Hot-Humid,U,924,0,4397,7028,0,5116,1,0
5245,Single-Family Detached,Master's,110000,Hot-Humid,U,2112,2323,2484,18420,10021,15917,1,0
5246,Single-Family Detached,Some College,92500,"Hot-Dry/
Mixed-Dry",U,1898,720,5202,13056,15130,18760,1,0
5248,Single-Family Detached,Professional,17500,"Hot-Dry/
Mixed-Dry",U,1908,2678,2117,9840,25215,7384,1,0
5249,Single-Family Detached,Bachlor's,72500,Mixed-Humid,R,6732,4332,943,14315,101081,18120,1,0
5250,Single-Family Detached,Bachlor's,47500,Marine,U,2240,5588,229,4750,9185,73,1,0
5251,Single-Family Detached,Some College,77500,"Very Cold/
Cold",U,3076,10086,34,11382,112584,0,1,0
5253,Mobile Home,Some k-12,32500,"Hot-Dry/
Mixed-Dry",R,1184,1009,4280,10169,0,17065,1,0
5254,Single-Family Detached,High School,67500,Mixed-Humid,R,2400,3858,1373,18172,16518,7946,1,0
5255,Single-Family Detached,Bachlor's,17500,"Hot-Dry/
Mixed-Dry",U,1927,1263,1814,13211,16039,9891,1,0
